Text
 1 ...................................... 1
 2 ...................................... 2
 3 ...................................... 1
 4 ...................................... 4
 5 ...................................... 4
 6 ...................................... 3
 7 ...................................... 2
 8 ...................................... 4
 9 ...................................... 4
10 ...................................... 4
11 ...................................... 2
12 ...................................... 4
13 ...................................... 3
14 ...................................... 1
15 ...................................... 2
16 ...................................... 4
17 ...................................... 3
18 ...................................... 3
19 ...................................... 1
20 ...................................... 3
21 ...................................... 2
22 ...................................... 1
23 ...................................... 3
24 ...................................... 1
25 ...................................... 2
26 ...................................... 3
27 ...................................... 2
28 ...................................... 2
29 ...................................... 3
30 ...................................... 2
31 ...................................... 3
32 ...................................... 3
33 ...................................... 4
34 ...................................... 2
35 ...................................... 3
36 ...................................... 3
37 ...................................... 1
38 ...................................... 2
39 ...................................... 2
40 ...................................... 3
41 ...................................... 2
42 ...................................... 3
43 ...................................... 3
44 ...................................... 2
45 ...................................... 1
46 ...................................... 2
47 ...................................... 2
48 ...................................... 2
49 ...................................... 4
50 ...................................... 2
51 .................................... 2
52 .................................... 1
53 .................................... 3
54 .................................... 2
55 .................................... 4
56 .................................... 2
57 .................................... 2
58 .................................... 3
59 .................................... 1
60 .................................... 1
61 .................................... 4
62 .................................... 3
63 .................................... 4
64 .................................... 3
65 .................................... 1
66 .................................... 4
67 .................................... 3
68 .................................... 4
69 .................................... 2
70 .................................... 1
71 .................................... 4
72 .................................... 2
73 .................................... 4
74 .................................... 3
75 .................................... 3
76 .................................... 1
77 .................................... 2
78 .................................... 2
79 .................................... 4
80 .................................... 2
81 .................................... 1
82 .................................... 3
83 .................................... 2
84 .................................... 4
85 .................................... 3
86 .................................... 2
87 .................................... 3
88 .................................... 1
89 .................................... 2
90 .................................... 1
91 .................................... 3
92 .................................... 2
93 .................................... 2
94 .................................... 4
95 .................................... 1
96 .................................... 4
97 .................................... 4
98 .................................... 2
99 .................................... 1
100 .................................... 1
